sampID	pop	phen
TK-A18	TK	A
TK-A09	TK	A
TK-A26	TK	A
CH-A33	CH	A
TK-R17	TK	R
TK-R04	TK	R
TK-A13	TK	A
CH-R14	CH	R
CH-A13	CH	A
TK-R12	TK	R
CH-R17	CH	R
TK-A02	TK	A
TK-A01	TK	A
TK-A08	TK	A
CH-A26	CH	A
TK-A19	TK	A
TK-R10	TK	R
CH-A23	CH	A
TK-R09	TK	R
TK-A05	TK	A
CH-A32	CH	A
CH-A34	CH	A
CH-R12	CH	R
CH-A11	CH	A
CH-A28	CH	A
CH-R16	CH	R
TK-A17	TK	A
TK-A14	TK	A
TK-R05	TK	R
TK-R08	TK	R
TK-R22	TK	R
CH-A08	CH	A
CH-R21	CH	R
TK-R18	TK	R
TK-A04	TK	A
CH-R08	CH	R
CH-A17	CH	A
TK-A21	TK	A
CH-A24	CH	A
TK-R20	TK	R
CH-R22	CH	R
TK-A16	TK	A
CH-A31	CH	A
CH-A21	CH	A
CH-R11	CH	R
CH-R25	CH	R
CH-R20	CH	R
CH-A15	CH	A
CH-A19	CH	A
CH-R07	CH	R
CH-A20	CH	A
CH-R24	CH	R
TK-A10	TK	A
TK-A25	TK	A
TK-R01	TK	R
TK-R16	TK	R
TK-A12	TK	A
TK-A22	TK	A
TK-R03	TK	R
TK-R13	TK	R
TK-A07	TK	A
TK-A24	TK	A
TK-R21	TK	R
CH-A07	CH	A
CH-A16	CH	A
CH-R10	CH	R
CH-R19	CH	R
CH-A10	CH	A
CH-A25	CH	A
CH-A27	CH	A
CH-R13	CH	R
CH-R15	CH	R
CH-R32	CH	R
CH-A12	CH	A
TK-R07	TK	R
CH-A29	CH	A
CH-R33	CH	R
TK-A03	TK	A
TK-A20	TK	A
TK-R11	TK	R
TK-A15	TK	A
TK-R06	TK	R
CH-R18	CH	R
CH-R27	CH	R
CH-A18	CH	A
CH-A35	CH	A
CH-R23	CH	R
CH-R09	CH	R
TK-R15	TK	R
TK-A11	TK	A
TK-R02	TK	R
TK-A06	TK	A
TK-A23	TK	A
TK-R14	TK	R
CH-R26	CH	R
CH-A09	CH	A
